,pollster,sponsors,pollster_partisan,sponsoring_candidate_name,sponsoring_candidate_party,geo,margin,start_date,end_date,results,population,sample_size,race_type,ready_at,is_select,url,office_type,nyt_race_id,nyt_matchup_id,fte_question_id,matchup_type,matchup_id,is_partisan,poll_weight_no_time_decay
10,Patriot Polling,[],,,,US,2,2024-09-01,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 49, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': False}]",rv,1003,G,2024-09-05 20:55:29,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0631
11,Patriot Polling,[],,,,NV,0,2024-09-01,2024-09-03,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}]",rv,788,G,2024-09-05 20:55:15,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,NV-G-P-2024-11-05,NV-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0559
12,Patriot Polling,[],,,,PA,1,2024-09-01,2024-09-03,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}]",rv,857,G,2024-09-05 20:54:59,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,PA-G-P-2024-11-05,PA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0583
13,Patriot Polling,[],,,,WI,0,2024-09-01,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}]",rv,826,G,2024-09-05 20:54:40,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,WI-G-P-2024-11-05,WI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0572
14,Patriot Polling,[],,,,NC,3,2024-09-01,2024-09-03,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 50, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}]",rv,804,G,2024-09-05 20:54:30,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,NC-G-P-2024-11-05,NC-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0565
15,Patriot Polling,[],,,,MI,1,2024-09-01,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}]",rv,822,G,2024-09-05 20:54:22,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,MI-G-P-2024-11-05,MI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0571
16,Patriot Polling,[],,,,AZ,2,2024-09-01,2024-09-03,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}]",rv,804,G,2024-09-05 20:54:11,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,AZ-G-P-2024-11-05,AZ-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0565
17,Patriot Polling,[],,,,GA,1,2024-09-01,2024-09-03,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}]",rv,814,G,2024-09-05 20:53:50,False,https://patriotpolling.com/our-polls/f/trump-and-harris-in-dead-heat,P,GA-G-P-2024-11-05,GA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0568
18,YouGov,"[{'sponsor_name': 'Economist', 'sponsor_partisan': None}]",,,,US,2,2024-09-01,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 5, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 1, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 1, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}, {'answer': 'West', 'candidate_name': 'Cornel West', 'party': 'IND', 'pct': 0, 'leader': False}]",rv,1389,G,2024-09-04 09:16:58,False,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HIwtch9.pdf,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207698.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.2927
19,ActiVote,[],,,,US,2,2024-08-25,2024-09-02,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 51, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': False}]",lv,1000,G,2024-09-02 13:16:43,False,https://www.activote.net/harris-lead-significantly-reduced/,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207634.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0497
20,Morning Consult,[],,,,US,3,2024-08-31,2024-09-02,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}]",rv,4000,G,2024-09-06 11:01:57,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207929.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0149
21,McLaughlin & Associates,"[{'sponsor_name': ""America's New Majority Project"", 'sponsor_partisan': 'REP'}]",,,,US,2,2024-08-29,2024-09-01,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}]",lv,1778,G,2024-09-05 09:17:04,False,https://americasnewmajorityproject.com/state-of-play-trump-harris-tied-nationally/,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207792.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.028
22,Morning Consult,[],,,,US,3,2024-08-30,2024-09-01,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}]",rv,4000,G,2024-09-06 11:01:57,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207928.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0149
23,Cygnal Political,"[{'sponsor_name': 'NRCC', 'sponsor_partisan': 'REP'}]",,,,AK,10,2024-08-30,2024-09-01,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 53, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 43, 'leader': False}]",lv,400,G,2024-09-05 12:10:48,False,https://www.nationaljournal.com/s/726084/as-weather-cools-alaska-race-heats-up/?unlock=MF42RA620DSSCNNZ,P,AK-G-P-2024-11-05,AK-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.1166
24,SoCal Strategies,"[{'sponsor_name': 'On Point Politics', 'sponsor_partisan': None}, {'sponsor_name': 'Red Eagle Politics', 'sponsor_partisan': 'REP'}]",,,,OH,9,2024-08-31,2024-09-01,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 52, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 43, 'leader': False}]",lv,600,G,2024-09-02 13:16:43,False,https://substack.com/inbox/post/148371316,P,OH-G-P-2024-11-05,OH-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207631.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.0083
25,ActiVote,[],,,,NC,0,2024-08-06,2024-08-31,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 50, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 50, 'leader': True}]",lv,400,G,2024-08-31 13:31:46,False,https://www.activote.net/trump-and-harris-exactly-tied-in-north-carolina/,P,NC-G-P-2024-11-05,NC-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207587.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0314
26,ActiVote,[],,,,TX,9,2024-08-14,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 55, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 46, 'leader': False}]",lv,400,G,2024-08-31 13:31:46,False,https://www.activote.net/trump-extends-lead-in-texas/,P,TX-G-P-2024-11-05,TX-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207589.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0314
27,ActiVote,[],,,,FL,7,2024-08-16,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 53, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}]",lv,400,G,2024-08-31 13:31:46,False,https://www.activote.net/trump-has-a-solid-lead-in-florida/,P,FL-G-P-2024-11-05,FL-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207588.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0314
28,SoonerPoll.com,[],,,,OK,16,2024-08-24,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 56, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 40, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 4, 'leader': False}]",lv,323,G,2024-09-04 20:01:52,False,https://www.soonerpoll.com/post/trump-leads-harris-by-16-points-between-12-and-73-percent-of-harris-voters-disapprove-of-her-views,P,OK-G-P-2024-11-05,OK-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207760.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0582
29,Morning Consult,[],,,,US,3,2024-08-29,2024-08-31,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}]",rv,4000,G,2024-09-06 11:01:57,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207927.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0149
30,InsiderAdvantage,[],,,,AZ,0,2024-08-29,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,800,G,2024-08-31 13:31:46,False,https://insideradvantage.com/arizona-trump-leads-by-one-point-gallego-up-by-four/,P,AZ-G-P-2024-11-05,AZ-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207586.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1474
31,InsiderAdvantage,[],,,,GA,1,2024-08-29,2024-08-31,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}]",lv,800,G,2024-08-31 13:31:46,False,https://insideradvantage.com/georgia-harris-and-trump-tied-at-48/,P,GA-G-P-2024-11-05,GA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207584.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1474
32,InsiderAdvantage,[],,,,NC,1,2024-08-29,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,800,G,2024-08-31 13:31:46,False,https://insideradvantage.com/north-carolina-trump-leads-harris-by-one-point-rounded-numbers-below-tabs/,P,NC-G-P-2024-11-05,NC-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207583.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1474
33,InsiderAdvantage,[],,,,NV,1,2024-08-29,2024-08-31,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 4, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}]",lv,800,G,2024-08-31 13:31:46,False,https://insideradvantage.com/nevada-trump-leads-by-one-point-rosen-holds-substantial-lead-in-senate-contest/,P,NV-G-P-2024-11-05,NV-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207585.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1474
34,YouGov,"[{'sponsor_name': 'University of Texas', 'sponsor_partisan': None}]",,,,TX,5,2024-08-21,2024-08-30,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 44, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 3, 'leader': False}]",rv,1200,G,2024-09-06 09:24:02,False,https://texaspolitics.utexas.edu/blog/donald-trump-maintains-lead-texas-kamala-harris-narrows-gap-amidst-surge-democratic-enthusiasm,P,TX-G-P-2024-11-05,TX-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.272
35,Gonzales Research,[],,,,MD,21,2024-08-24,2024-08-30,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 56, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 35, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 10, 'leader': False}]",lv,820,G,2024-09-03 14:38:57,False,https://marylandreporter.com/wp-content/uploads/2024/09/Gonzales-Poll-Part-1-September-2024.pdf,P,MD-G-P-2024-11-05,MD-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1224
36,Morning Consult,[],,,,US,3,2024-08-28,2024-08-30,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}]",rv,4000,G,2024-09-06 11:01:57,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207926.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0149
37,TIPP Insights,"[{'sponsor_name': 'Issues & Insights', 'sponsor_partisan': None}]",,,,US,3,2024-08-28,2024-08-30,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 5, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}]",rv,1386,G,2024-09-03 06:36:46,False,https://tippinsights.com/harris-hangs-on-to-overall-lead-but-trump-maintains-his-hold-on-vital-swing-states-i-i-tipp-poll/,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.2306
38,Trafalgar Group,[],REP,,,MI,0,2024-08-28,2024-08-30,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': False}]",lv,1089,G,2024-08-31 13:31:46,False,https://www.thetrafalgargroup.org/news/mi-pres-0831/,P,MI-G-P-2024-11-05,MI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207581.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.0619
39,Trafalgar Group,[],REP,,,PA,2,2024-08-28,2024-08-30,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 45, 'leader': False}]",lv,1082,G,2024-08-31 13:31:46,False,https://www.thetrafalgargroup.org/news/pa-pres-0831/,P,PA-G-P-2024-11-05,PA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207582.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.0617
